"id_identificador";"latitud";"longitud";"descripcion";"direccion";"fechaAlta";"Zona";"Barrio";"codigo_unico";"Potencia";"Marca";"Telegestión";"Fabricante";"Modelo";"Tecnología";"Fotocélula";"Status"
449224;-34.50915759180029;-58.51369321346282;Poste 1;Debenedetti 3169;'2022-12-26 19:32:55';Mantelectric;Olivos;;;;;;;;;
449225;-34.50829728759124;-58.51184785366058;Poste 2;Debenedetti 3051;'2022-12-26 19:33:55';Mantelectric;Olivos;;;;;;;;;
449226;-34.50784691163633;-58.51082593202591;Poste 3;Pedro Goyena 3901;'2022-12-26 19:34:47';Mantelectric;Olivos;;;;;;;;;
449227;-34.50738665604684;-58.50985765457153;Poste 4;Debenedetti 2899;'2022-12-26 19:36:29';Mantelectric;Olivos;;;;;;;;;
449228;-34.50694017772248;-58.50888669490814;Poste 5;Debenedetti 2799;'2022-12-26 19:37:13';Mantelectric;Olivos;;;;;;;;;
449229;-34.506501502150755;-58.50791573524475;Poste 6;Debenedetti 2693;'2022-12-26 19:37:59';Mantelectric;Olivos;;;;;;;;;
449230;-34.506098569247605;-58.506985008716576;Poste 7;Debenedetti 2599;'2022-12-26 19:38:40';Mantelectric;Olivos;;;;;;;;;
449231;-34.506793262070154;-58.506596088409424;Poste 8;Doctor Jonas Salk 3802;'2022-12-26 19:39:36';Mantelectric;Olivos;;;;;;;;;
449232;-34.5076243301818;-58.506048917770386;Poste 9;Capitán Justo Germán de Bermúdez 2602;'2022-12-26 19:40:36';Mantelectric;Olivos;;;;;;;;;
449233;-34.50845539000631;-58.50546956062316;Poste 10;Doctor José Ingenieros 2601;'2022-12-26 19:41:22';Mantelectric;Olivos;;;;;;;;;
934108;-34.51386504103019;-58.497190475900425;Poste 440;Juan Bautista Alberdi 2012;'2023-12-13 18:58:24';Mantelectric;Olivos;"";;;;;;;;
934109;-34.51273345651914;-58.48114013715531;Poste 441;Avenida del Libertador;'2023-12-13 19:00:07';Mantelectric;Olivos;"";;;;;;;;
934110;-34.5353622266389;-58.507146835763706;Poste 442;General José de San Martín 3441;'2023-12-13 19:03:33';Mantelectric;;"";;;;;;;;
1220854;-34.52582825097683;-58.47550392150879;FAROLA ASY216050A Soporte: BRAZO/N;"12 DE OCTUBRE 25";'2024-03-19 09:00:00';Mantelectric;Vicente Lopez;cod:B;"60";N/D;No;N/D;N/D;LED;No;
1220855;-34.52582825097683;-58.47550392150879;PHILCO 120 Soporte: COL 9/2 M   ;"12 DE OCTUBRE 25";'2024-03-19 09:00:00';Mantelectric;Vicente Lopez;cod:B;"120";PHILCO;No;PHILCO;PHILCO 120;LED;No;
1220856;-34.52582825097683;-58.47550392150879;FAROLA ASY216050A Soporte: BRAZO/N;"12 DE OCTUBRE 65";'2024-03-19 09:00:00';Mantelectric;Vicente Lopez;cod:B;"60";N/D;No;N/D;N/D;LED;No;
1220857;-34.52582825097683;-58.47550392150879;LUMENAC 100W FLOW Soporte: COL 9/2 M   ;"12 DE OCTUBRE 65";'2024-03-19 09:00:00';Mantelectric;Vicente Lopez;cod:B;"100";LUMENAC;Si;LUMENAC;FLOW CON TELEGESTION;LED;Si;
1220858;-34.52582825097683;-58.47550392150879;FAROLA ASY216050A Soporte: BRAZO/N;"12 DE OCTUBRE 99";'2024-03-19 09:00:00';Mantelectric;Vicente Lopez;cod:B;"60";N/D;No;N/D;N/D;LED;No;
1220859;-34.52582825097683;-58.47550392150879;LUMENAC 100W FLOW Soporte: COL 9/2 M   ;"12 DE OCTUBRE 99";'2024-03-19 09:00:00';Mantelectric;Vicente Lopez;cod:B;"100";LUMENAC;Si;LUMENAC;FLOW CON TELEGESTION;LED;Si;
1220860;-34.52582825097683;-58.47550392150879;FAROLA ASY216050A Soporte: BRAZO/N;"12 DE OCTUBRE 170";'2024-03-19 09:00:00';Mantelectric;Vicente Lopez;cod:B;"60";N/D;No;N/D;N/D;LED;No;
1220861;-34.52582825097683;-58.47550392150879;LUMENAC 100W FLOW Soporte: COL 9/2 M   ;"12 DE OCTUBRE 170";'2024-03-19 09:00:00';Mantelectric;Vicente Lopez;cod:B;"100";LUMENAC;Si;LUMENAC;FLOW CON TELEGESTION;LED;Si;
1220862;-34.52582825097683;-58.47550392150879;FAROLA ASY216050A Soporte: BRAZO/N;"12 DE OCTUBRE 180";'2024-03-19 09:00:00';Mantelectric;Vicente Lopez;cod:B;"60";N/D;No;N/D;N/D;LED;No;
1220863;-34.52582825097683;-58.47550392150879;PHILCO 120 Soporte: COL 9/2 M   ;"12 DE OCTUBRE 180";'2024-03-19 09:00:00';Mantelectric;Vicente Lopez;cod:B;"120";PHILCO;No;PHILCO;PHILCO 120;LED;No;
1220864;-34.52582825097683;-58.47550392150879;FAROLA ASY216050A Soporte: BRAZO/N;"25 DE MAYO 10";'2024-03-19 09:00:00';Mantelectric;Vicente Lopez;cod:B;"60";N/D;No;N/D;N/D;LED;No;
1220865;-34.52582825097683;-58.47550392150879;PHILCO 120 Soporte: COL 6,5/2 M ;"25 DE MAYO 10";'2024-03-19 09:00:00';Mantelectric;Vicente Lopez;cod:B;"120";PHILCO;No;PHILCO;PHILCO 120;LED;No;
1220866;-34.52582825097683;-58.47550392150879;FAROLA ASY216050A Soporte: BRAZO/N;"25 DE MAYO 48";'2024-03-19 09:00:00';Mantelectric;Vicente Lopez;cod:B;"60";N/D;No;N/D;N/D;LED;No;
1220867;-34.52582825097683;-58.47550392150879;PHILCO 120 Soporte: COL 6,5/2 M ;"25 DE MAYO 48";'2024-03-19 09:00:00';Mantelectric;Vicente Lopez;cod:B;"120";PHILCO;No;PHILCO;PHILCO 120;LED;No;
1220868;-34.52582825097683;-58.47550392150879;FAROLA ASY216050A Soporte: BRAZO/N;"25 DE MAYO 72";'2024-03-19 09:00:00';Mantelectric;Vicente Lopez;cod:B;"60";N/D;No;N/D;N/D;LED;No;
1220869;-34.52582825097683;-58.47550392150879;PHILCO 120 Soporte: COL 6,5/2 M ;"25 DE MAYO 72";'2024-03-19 09:00:00';Mantelectric;Vicente Lopez;cod:B;"120";PHILCO;No;PHILCO;PHILCO 120;LED;No;
1220870;-34.52582825097683;-58.47550392150879;FAROLA ASY216050A Soporte: BRAZO/N;"25 DE MAYO 92";'2024-03-19 09:00:00';Mantelectric;Vicente Lopez;cod:B;"60";N/D;No;N/D;N/D;LED;No;
1220871;-34.52582825097683;-58.47550392150879;PHILCO 120 Soporte: COL 6,5/2 M ;"25 DE MAYO 92";'2024-03-19 09:00:00';Mantelectric;Vicente Lopez;cod:B;"120";PHILCO;No;PHILCO;PHILCO 120;LED;No;
1220872;-34.52582825097683;-58.47550392150879;FAROLA ASY216050A Soporte: BRAZO/N;"25 DE MAYO 135";'2024-03-19 09:00:00';Mantelectric;Vicente Lopez;cod:B;"60";N/D;No;N/D;N/D;LED;No;
1220873;-34.52582825097683;-58.47550392150879;PHILCO 120 Soporte: COL 9/2 M   ;"25 DE MAYO 135";'2024-03-19 09:00:00';Mantelectric;Vicente Lopez;cod:B;"120";PHILCO;No;PHILCO;PHILCO 120;LED;No;
1220874;-34.52582825097683;-58.47550392150879;FAROLA ASY216050A Soporte: BRAZO/N;"25 DE MAYO 170";'2024-03-19 09:00:00';Mantelectric;Vicente Lopez;cod:B;"60";N/D;No;N/D;N/D;LED;No;
1220875;-34.52582825097683;-58.47550392150879;PHILCO 120 Soporte: COL 9/2 M   ;"25 DE MAYO 170";'2024-03-19 09:00:00';Mantelectric;Vicente Lopez;cod:B;"120";PHILCO;No;PHILCO;PHILCO 120;LED;No;
1220876;-34.52582825097683;-58.47550392150879;FAROLA ASY216050A Soporte: BRAZO/N;"25 DE MAYO 182";'2024-03-19 09:00:00';Mantelectric;Vicente Lopez;cod:B;"60";N/D;No;N/D;N/D;LED;No;
1220877;-34.52582825097683;-58.47550392150879;PHILCO 120 Soporte: COL 6,5/2 M ;"25 DE MAYO 182";'2024-03-19 09:00:00';Mantelectric;Vicente Lopez;cod:B;"120";PHILCO;No;PHILCO;PHILCO 120;LED;No;
1220878;-34.52582825097683;-58.47550392150879;FAROLA ASY216050A Soporte: BRAZO/N;"25 DE MAYO 210";'2024-03-19 09:00:00';Mantelectric;Vicente Lopez;cod:B;"60";N/D;No;N/D;N/D;LED;No;
1220879;-34.52582825097683;-58.47550392150879;PHILCO 120 Soporte: COL 9/2 M   ;"25 DE MAYO 210";'2024-03-19 09:00:00';Mantelectric;Vicente Lopez;cod:B;"120";PHILCO;No;PHILCO;PHILCO 120;LED;No;
1220880;-34.52582825097683;-58.47550392150879;FAROLA ASY216050A Soporte: BRAZO/N;"25 DE MAYO 250";'2024-03-19 09:00:00';Mantelectric;Vicente Lopez;cod:B;"60";N/D;No;N/D;N/D;LED;No;
1220881;-34.52582825097683;-58.47550392150879;ITALAVIA 100W     Soporte: COL 9/2 M   ;"25 DE MAYO 250";'2024-03-19 09:00:00';Mantelectric;Vicente Lopez;cod:B;"100";ITALAVIA;Si;ELT / ITALAVIA;"82302011-146";LED;Si;
1220882;-34.52582825097683;-58.47550392150879;FAROLA ASY216050A Soporte: BRAZO/N;"25 DE MAYO 290";'2024-03-19 09:00:00';Mantelectric;Vicente Lopez;cod:B;"60";N/D;No;N/D;N/D;LED;No;
1220883;-34.52582825097683;-58.47550392150879;PHILCO 120 Soporte: COL 9/2 M   ;"25 DE MAYO 290";'2024-03-19 09:00:00';Mantelectric;Vicente Lopez;cod:B;"120";PHILCO;No;PHILCO;PHILCO 120;LED;No;
1220884;-34.52582825097683;-58.47550392150879;FAROLA ASY216050A Soporte: BRAZO/N;"25 DE MAYO 303";'2024-03-19 09:00:00';Mantelectric;Vicente Lopez;cod:B;"60";N/D;No;N/D;N/D;LED;No;
1220885;-34.52582825097683;-58.47550392150879;PHILCO 80  Soporte: COL 6,5/2 M ;"25 DE MAYO 303";'2024-03-19 09:00:00';Mantelectric;Vicente Lopez;cod:B;"80";PHILCO;No;PHILCO;N/D;LED;No;
1220886;-34.52582825097683;-58.47550392150879;FAROLA ASY216050A Soporte: BRAZO/N;"25 DE MAYO 333";'2024-03-19 09:00:00';Mantelectric;Vicente Lopez;cod:B;"60";N/D;No;N/D;N/D;LED;No;
1220887;-34.52582825097683;-58.47550392150879;PHILCO 80  Soporte: COL 6,5/2 M ;"25 DE MAYO 333";'2024-03-19 09:00:00';Mantelectric;Vicente Lopez;cod:B;"80";PHILCO;No;PHILCO;N/D;LED;No;
1220888;-34.52582825097683;-58.47550392150879;FAROLA ASY216050A Soporte: BRAZO/N;"25 DE MAYO 353";'2024-03-19 09:00:00';Mantelectric;Vicente Lopez;cod:B;"60";N/D;No;N/D;N/D;LED;No;
1220889;-34.52582825097683;-58.47550392150879;PHILCO 80  Soporte: COL 6,5/2 M ;"25 DE MAYO 353";'2024-03-19 09:00:00';Mantelectric;Vicente Lopez;cod:B;"80";PHILCO;No;PHILCO;N/D;LED;No;
1220890;-34.52582825097683;-58.47550392150879;FAROLA ASY216050A Soporte: BRAZO/N;"25 DE MAYO 391";'2024-03-19 09:00:00';Mantelectric;Vicente Lopez;cod:B;"60";N/D;No;N/D;N/D;LED;No;
1220891;-34.52582825097683;-58.47550392150879;PHILCO 80  Soporte: COL 6,5/2 M ;"25 DE MAYO 391";'2024-03-19 09:00:00';Mantelectric;Vicente Lopez;cod:B;"80";PHILCO;No;PHILCO;N/D;LED;No;
1220892;-34.52582825097683;-58.47550392150879;FAROLA ASY216050A Soporte: BRAZO/N;"25 DE MAYO 413";'2024-03-19 09:00:00';Mantelectric;Vicente Lopez;cod:B;"60";N/D;No;N/D;N/D;LED;No;
1220893;-34.52582825097683;-58.47550392150879;PHILCO 120 Soporte: COL 9/2 M   ;"25 DE MAYO 413";'2024-03-19 09:00:00';Mantelectric;Vicente Lopez;cod:B;"120";PHILCO;No;PHILCO;PHILCO 120;LED;No;
1220894;-34.52582825097683;-58.47550392150879;FAROLA ASY216050A Soporte: BRAZO/N;"25 DE MAYO 447";'2024-03-19 09:00:00';Mantelectric;Vicente Lopez;cod:B;"60";N/D;No;N/D;N/D;LED;No;
1220895;-34.52582825097683;-58.47550392150879;PHILCO 120 Soporte: COL 9/2 M   ;"25 DE MAYO 447";'2024-03-19 09:00:00';Mantelectric;Vicente Lopez;cod:B;"120";PHILCO;No;PHILCO;PHILCO 120;LED;No;
1220896;-34.52582825097683;-58.47550392150879;FAROLA ASY216050A Soporte: BRAZO/N;"25 DE MAYO 495";'2024-03-19 09:00:00';Mantelectric;Vicente Lopez;cod:B;"60";N/D;No;N/D;N/D;LED;No;
1220897;-34.52582825097683;-58.47550392150879;PHILCO 120 Soporte: COL 9/2 M   ;"25 DE MAYO 495";'2024-03-19 09:00:00';Mantelectric;Vicente Lopez;cod:B;"120";PHILCO;No;PHILCO;PHILCO 120;LED;No;
1220898;-34.52582825097683;-58.47550392150879;FAROLA ASY216050A Soporte: BRAZO/N;"25 DE MAYO 514";'2024-03-19 09:00:00';Mantelectric;Vicente Lopez;cod:B;"60";N/D;No;N/D;N/D;LED;No;
1220899;-34.52582825097683;-58.47550392150879;PHILCO 80  Soporte: COL 6,5/2 M ;"25 DE MAYO 514";'2024-03-19 09:00:00';Mantelectric;Vicente Lopez;cod:B;"80";PHILCO;No;PHILCO;N/D;LED;No;
1220900;-34.52582825097683;-58.47550392150879;FAROLA ASY216050A Soporte: BRAZO/N;"25 DE MAYO 530";'2024-03-19 09:00:00';Mantelectric;Vicente Lopez;cod:B;"60";N/D;No;N/D;N/D;LED;No;
1220901;-34.52582825097683;-58.47550392150879;PHILCO 80  Soporte: COL 6,5/2 M ;"25 DE MAYO 530";'2024-03-19 09:00:00';Mantelectric;Vicente Lopez;cod:B;"80";PHILCO;No;PHILCO;N/D;LED;No;
1220902;-34.52582825097683;-58.47550392150879;FAROLA ASY216050A Soporte: BRAZO/N;"25 DE MAYO 560";'2024-03-19 09:00:00';Mantelectric;Vicente Lopez;cod:B;"60";N/D;No;N/D;N/D;LED;No;
1220903;-34.52582825097683;-58.47550392150879;PHILCO 80  Soporte: COL 6,5/2 M ;"25 DE MAYO 560";'2024-03-19 09:00:00';Mantelectric;Vicente Lopez;cod:B;"80";PHILCO;No;PHILCO;N/D;LED;No;
1220904;-34.52582825097683;-58.47550392150879;FAROLA ASY216050A Soporte: BRAZO/N;"25 DE MAYO 598";'2024-03-19 09:00:00';Mantelectric;Vicente Lopez;cod:B;"60";N/D;No;N/D;N/D;LED;No;
1220905;-34.52582825097683;-58.47550392150879;PHILCO 80  Soporte: COL 6,5/2 M ;"25 DE MAYO 598";'2024-03-19 09:00:00';Mantelectric;Vicente Lopez;cod:B;"80";PHILCO;No;PHILCO;N/D;LED;No;
1220906;-34.52582825097683;-58.47550392150879;FAROLA ASY216050A Soporte: BRAZO/N;"25 DE MAYO 611";'2024-03-19 09:00:00';Mantelectric;Vicente Lopez;cod:B;"60";N/D;No;N/D;N/D;LED;No;
1220907;-34.52582825097683;-58.47550392150879;PHILCO 120 Soporte: COL 9/2 M   ;"25 DE MAYO 611";'2024-03-19 09:00:00';Mantelectric;Vicente Lopez;cod:B;"120";PHILCO;No;PHILCO;PHILCO 120;LED;No;
1220908;-34.52582825097683;-58.47550392150879;FAROLA ASY216050A Soporte: BRAZO/N;"25 DE MAYO 643";'2024-03-19 09:00:00';Mantelectric;Vicente Lopez;cod:B;"60";N/D;No;N/D;N/D;LED;No;
1220909;-34.52582825097683;-58.47550392150879;PHILCO 120 Soporte: COL 9/2 M   ;"25 DE MAYO 643";'2024-03-19 09:00:00';Mantelectric;Vicente Lopez;cod:B;"120";PHILCO;No;PHILCO;PHILCO 120;LED;No;
1220910;-34.52582825097683;-58.47550392150879;FAROLA ASY216050A Soporte: BRAZO/N;"25 DE MAYO 687";'2024-03-19 09:00:00';Mantelectric;Vicente Lopez;cod:B;"60";N/D;No;N/D;N/D;LED;No;
1220911;-34.52582825097683;-58.47550392150879;LUMENAC 100W FLOW Soporte: COL 9/2 M   ;"25 DE MAYO 687";'2024-03-19 09:00:00';Mantelectric;Vicente Lopez;cod:B;"100";LUMENAC;Si;LUMENAC;FLOW CON TELEGESTION;LED;Si;
1220912;-34.52582825097683;-58.47550392150879;FAROLA ASY216050A Soporte: BRAZO/N;"25 DE MAYO 717";'2024-03-19 09:00:00';Mantelectric;Vicente Lopez;cod:B;"60";N/D;No;N/D;N/D;LED;No;
1220913;-34.52582825097683;-58.47550392150879;LUMENAC 100W FLOW Soporte: COL 9/2 M   ;"25 DE MAYO 717";'2024-03-19 09:00:00';Mantelectric;Vicente Lopez;cod:B;"100";LUMENAC;Si;LUMENAC;FLOW CON TELEGESTION;LED;Si;
1220914;-34.52582825097683;-58.47550392150879;FAROLA ASY216050A Soporte: BRAZO/N;"25 DE MAYO 755";'2024-03-19 09:00:00';Mantelectric;Vicente Lopez;cod:B;"60";N/D;No;N/D;N/D;LED;No;
1220915;-34.52582825097683;-58.47550392150879;PHILCO 120 Soporte: COL 9/2 M   ;"25 DE MAYO 755";'2024-03-19 09:00:00';Mantelectric;Vicente Lopez;cod:B;"120";PHILCO;No;PHILCO;PHILCO 120;LED;No;
1220916;-34.52582825097683;-58.47550392150879;FAROLA ASY216050A Soporte: BRAZO/N;"25 DE MAYO 799";'2024-03-19 09:00:00';Mantelectric;Vicente Lopez;cod:B;"60";N/D;No;N/D;N/D;LED;No;
1220917;-34.52582825097683;-58.47550392150879;PHILCO 120 Soporte: COL 9/2 M   ;"25 DE MAYO 799";'2024-03-19 09:00:00';Mantelectric;Vicente Lopez;cod:B;"120";PHILCO;No;PHILCO;PHILCO 120;LED;No;
1220918;-34.52582825097683;-58.47550392150879;FAROLA ASY216050A Soporte: BRAZO/N;"25 DE MAYO 817";'2024-03-19 09:00:00';Mantelectric;Vicente Lopez;cod:B;"60";N/D;No;N/D;N/D;LED;No;
1220919;-34.52582825097683;-58.47550392150879;PHILCO 120 Soporte: COL 9/2 M   ;"25 DE MAYO 817";'2024-03-19 09:00:00';Mantelectric;Vicente Lopez;cod:B;"120";PHILCO;No;PHILCO;PHILCO 120;LED;No;
1220920;-34.52582825097683;-58.47550392150879;FAROLA ASY216050A Soporte: BRAZO/N;"25 DE MAYO 849";'2024-03-19 09:00:00';Mantelectric;Vicente Lopez;cod:B;"60";N/D;No;N/D;N/D;LED;No;
1220921;-34.52582825097683;-58.47550392150879;PHILCO 120 Soporte: COL 9/2 M   ;"25 DE MAYO 849";'2024-03-19 09:00:00';Mantelectric;Vicente Lopez;cod:B;"120";PHILCO;No;PHILCO;PHILCO 120;LED;No;
1220922;-34.52582825097683;-58.47550392150879;FAROLA ASY216050A Soporte: BRAZO/N;"25 DE MAYO 889";'2024-03-19 09:00:00';Mantelectric;Vicente Lopez;cod:B;"60";N/D;No;N/D;N/D;LED;No;
1220923;-34.52582825097683;-58.47550392150879;LUMINARIA VIAL 105W QIPOWER  Soporte: COL 9/2 M   ;"25 DE MAYO 889";'2024-03-19 09:00:00';Mantelectric;Vicente Lopez;cod:B;"105";QUISUR;No;QUISUR;QIPOWER;LED;Si;
1220924;-34.52582825097683;-58.47550392150879;FAROLA ASY216050A Soporte: BRAZO/N;"25 DE MAYO 1018";'2024-03-19 09:00:00';Mantelectric;Vicente Lopez;cod:B;"60";N/D;No;N/D;N/D;LED;No;
1220925;-34.52582825097683;-58.47550392150879;PHILCO 120 Soporte: COL 9/2 M   ;"25 DE MAYO 1018";'2024-03-19 09:00:00';Mantelectric;Vicente Lopez;cod:B;"120";PHILCO;No;PHILCO;PHILCO 120;LED;No;
1220926;-34.52582825097683;-58.47550392150879;FAROLA ASY216050A Soporte: BRAZO/N;"25 DE MAYO 1054";'2024-03-19 09:00:00';Mantelectric;Vicente Lopez;cod:B;"60";N/D;No;N/D;N/D;LED;No;
1220927;-34.52582825097683;-58.47550392150879;PHILCO 120 REPLAQUEADO/ANULADO Soporte: COL 9/2 M   ;"25 DE MAYO 1054";'2024-03-19 09:00:00';Mantelectric;Vicente Lopez;cod:B;"120";REPARADO;No;REPARADO POR MANTELECTRIC;PHILCO 120;LED;No;
1220928;-34.52582825097683;-58.47550392150879;FAROLA ASY216050A Soporte: BRAZO/N;"25 DE MAYO 1090";'2024-03-19 09:00:00';Mantelectric;Vicente Lopez;cod:B;"60";N/D;No;N/D;N/D;LED;No;
1220929;-34.52582825097683;-58.47550392150879;PHILCO 120 Soporte: COL 9/2 M   ;"25 DE MAYO 1090";'2024-03-19 09:00:00';Mantelectric;Vicente Lopez;cod:B;"120";PHILCO;No;PHILCO;PHILCO 120;LED;No;
1220930;-34.52582825097683;-58.47550392150879;FAROLA ASY216050A Soporte: BRAZO/N;"25 DE MAYO 1120";'2024-03-19 09:00:00';Mantelectric;Vicente Lopez;cod:B;"60";N/D;No;N/D;N/D;LED;No;
1220931;-34.52582825097683;-58.47550392150879;ITALAVIA 100W     Soporte: COL 9/2 M   ;"25 DE MAYO 1120";'2024-03-19 09:00:00';Mantelectric;Vicente Lopez;cod:B;"100";ITALAVIA;Si;ELT / ITALAVIA;"82302011-146";LED;Si;
1220932;-34.52582825097683;-58.47550392150879;FAROLA ASY216050A Soporte: BRAZO/N;"25 DE MAYO 1138";'2024-03-19 09:00:00';Mantelectric;Vicente Lopez;cod:B;"60";N/D;No;N/D;N/D;LED;No;
1220933;-34.52582825097683;-58.47550392150879;PHILCO 120 Soporte: COL 9/2 M   ;"25 DE MAYO 1138";'2024-03-19 09:00:00';Mantelectric;Vicente Lopez;cod:B;"120";PHILCO;No;PHILCO;PHILCO 120;LED;No;
1220934;-34.52582825097683;-58.47550392150879;FAROLA ASY216050A Soporte: BRAZO/N;"25 DE MAYO 1160";'2024-03-19 09:00:00';Mantelectric;Vicente Lopez;cod:B;"60";N/D;No;N/D;N/D;LED;No;
1220935;-34.52582825097683;-58.47550392150879;PHILCO 120 Soporte: COL 9/2 M   ;"25 DE MAYO 1160";'2024-03-19 09:00:00';Mantelectric;Vicente Lopez;cod:B;"120";PHILCO;No;PHILCO;PHILCO 120;LED;No;
1220936;-34.52582825097683;-58.47550392150879;FAROLA ASY216050A Soporte: BRAZO/N;"25 DE MAYO 1188";'2024-03-19 09:00:00';Mantelectric;Vicente Lopez;cod:B;"60";N/D;No;N/D;N/D;LED;No;
1220937;-34.52582825097683;-58.47550392150879;PHILCO 120 Soporte: COL 9/2 M   ;"25 DE MAYO 1188";'2024-03-19 09:00:00';Mantelectric;Vicente Lopez;cod:B;"120";PHILCO;No;PHILCO;PHILCO 120;LED;No;
1220938;-34.52582825097683;-58.47550392150879;FAROLA ASY216050A Soporte: BRAZO/N;"25 DE MAYO 1218";'2024-03-19 09:00:00';Mantelectric;Vicente Lopez;cod:B;"60";N/D;No;N/D;N/D;LED;No;
1220939;-34.52582825097683;-58.47550392150879;ITALAVIA 100W     Soporte: COL 9/2 M   ;"25 DE MAYO 1218";'2024-03-19 09:00:00';Mantelectric;Vicente Lopez;cod:B;"100";ITALAVIA;Si;ELT / ITALAVIA;"82302011-146";LED;Si;
1220940;-34.52582825097683;-58.47550392150879;FAROLA ASY216050A Soporte: BRAZO/N;"25 DE MAYO 1270";'2024-03-19 09:00:00';Mantelectric;Vicente Lopez;cod:B;"60";N/D;No;N/D;N/D;LED;No;
1220941;-34.52582825097683;-58.47550392150879;PHILCO 120 Soporte: COL 9/2 M   ;"25 DE MAYO 1270";'2024-03-19 09:00:00';Mantelectric;Vicente Lopez;cod:B;"120";PHILCO;No;PHILCO;PHILCO 120;LED;No;
1220942;-34.52582825097683;-58.47550392150879;FAROLA ASY216050A Soporte: BRAZO/N;"25 DE MAYO 1290";'2024-03-19 09:00:00';Mantelectric;Vicente Lopez;cod:B;"60";N/D;No;N/D;N/D;LED;No;
1220943;-34.52582825097683;-58.47550392150879;LUMENAC 100W FLOW Soporte: COL 9/2 M   ;"25 DE MAYO 1290";'2024-03-19 09:00:00';Mantelectric;Vicente Lopez;cod:B;"100";LUMENAC;Si;LUMENAC;FLOW CON TELEGESTION;LED;Si;
1220944;-34.52582825097683;-58.47550392150879;FAROLA ASY216050A Soporte: BRAZO/N;"25 DE MAYO 1315";'2024-03-19 09:00:00';Mantelectric;Vicente Lopez;cod:B;"60";N/D;No;N/D;N/D;LED;No;
1220945;-34.52582825097683;-58.47550392150879;LUMENAC 100W FLOW Soporte: COL 9/2 M   ;"25 DE MAYO 1315";'2024-03-19 09:00:00';Mantelectric;Vicente Lopez;cod:B;"100";LUMENAC;Si;LUMENAC;FLOW CON TELEGESTION;LED;Si;
1220946;-34.52582825097683;-58.47550392150879;FAROLA ASY216050A Soporte: BRAZO/N;"25 DE MAYO 1347";'2024-03-19 09:00:00';Mantelectric;Vicente Lopez;cod:B;"60";N/D;No;N/D;N/D;LED;No;
1220947;-34.52582825097683;-58.47550392150879;PHILCO 120 Soporte: COL 9/2 M   ;"25 DE MAYO 1347";'2024-03-19 09:00:00';Mantelectric;Vicente Lopez;cod:B;"120";PHILCO;No;PHILCO;PHILCO 120;LED;No;
1220948;-34.52582825097683;-58.47550392150879;FAROLA ASY216050A Soporte: BRAZO/N;"25 DE MAYO 1367";'2024-03-19 09:00:00';Mantelectric;Vicente Lopez;cod:B;"60";N/D;No;N/D;N/D;LED;No;
1220949;-34.52582825097683;-58.47550392150879;PHILCO 120 Soporte: COL 9/2 M   ;"25 DE MAYO 1367";'2024-03-19 09:00:00';Mantelectric;Vicente Lopez;cod:B;"120";PHILCO;No;PHILCO;PHILCO 120;LED;No;
1220950;-34.52582825097683;-58.47550392150879;FAROLA ASY216050A Soporte: BRAZO/N;"25 DE MAYO 1407";'2024-03-19 09:00:00';Mantelectric;Vicente Lopez;cod:B;"60";N/D;No;N/D;N/D;LED;No;
1220951;-34.52582825097683;-58.47550392150879;PHILCO 120 Soporte: COL 9/2 M   ;"25 DE MAYO 1407";'2024-03-19 09:00:00';Mantelectric;Vicente Lopez;cod:B;"120";PHILCO;No;PHILCO;PHILCO 120;LED;No;
1220952;-34.52582825097683;-58.47550392150879;FAROLA ASY216050A Soporte: BRAZO/N;"25 DE MAYO 1441";'2024-03-19 09:00:00';Mantelectric;Vicente Lopez;cod:B;"60";N/D;No;N/D;N/D;LED;No;
1220953;-34.52582825097683;-58.47550392150879;PHILCO 120 Soporte: COL 9/2 M   ;"25 DE MAYO 1441";'2024-03-19 09:00:00';Mantelectric;Vicente Lopez;cod:B;"120";PHILCO;No;PHILCO;PHILCO 120;LED;No;
1220954;-34.52582825097683;-58.47550392150879;FAROLA ASY216050A Soporte: BRAZO/N;"25 DE MAYO 1485";'2024-03-19 09:00:00';Mantelectric;Vicente Lopez;cod:B;"60";N/D;No;N/D;N/D;LED;No;
1220956;-34.52582825097683;-58.47550392150879;ITALAVIA 100W     Soporte: COL 9/2 M   ;"25 DE MAYO 1485";'2024-03-19 09:00:00';Mantelectric;Vicente Lopez;cod:B;"100";ITALAVIA;Si;ELT / ITALAVIA;"82302011-146";LED;Si;
1220957;-34.52582825097683;-58.47550392150879;FAROLA ASY216050A Soporte: BRAZO/N;"25 DE MAYO 1510";'2024-03-19 09:00:00';Mantelectric;Vicente Lopez;cod:B;"60";N/D;No;N/D;N/D;LED;No;
1220958;-34.52582825097683;-58.47550392150879;PHILCO 80  Soporte: COL 6,5/2 M ;"25 DE MAYO 1510";'2024-03-19 09:00:00';Mantelectric;Vicente Lopez;cod:B;"80";PHILCO;No;PHILCO;N/D;LED;No;
1220959;-34.52582825097683;-58.47550392150879;FAROLA ASY216050A Soporte: BRAZO/N;"25 DE MAYO 1534";'2024-03-19 09:00:00';Mantelectric;Vicente Lopez;cod:B;"60";N/D;No;N/D;N/D;LED;No;
